model,phase,run,n_gt,n_model,n_matched,precision,recall,f1,acc_title,acc_arrival_date,acc_departure_date,acc_place_of_stay,acc_with_spouse,acc_with_siblings,acc_children_count,acc_place_of_origin
gemini31,a,3,65,65,63,0.9692,0.9692,0.9692,0.6984,0.8871,0.8226,0.6508,1.0000,0.9683,1.0000,0.7143
gemini31,a,4,65,65,63,0.9692,0.9692,0.9692,0.6984,0.8833,0.8226,0.6349,1.0000,0.9683,1.0000,0.7143
gemini31,a,5,65,65,63,0.9692,0.9692,0.9692,0.6984,0.8871,0.8226,0.6508,1.0000,0.9683,1.0000,0.7143
gemini31,a,6,65,65,62,0.9538,0.9538,0.9538,0.7097,0.8814,0.8197,0.6290,1.0000,0.9677,1.0000,0.7258
gemini31,a,7,65,65,63,0.9692,0.9692,0.9692,0.6984,0.8833,0.8226,0.6349,1.0000,0.9683,1.0000,0.7143
gemini31,a,8,65,65,63,0.9692,0.9692,0.9692,0.6984,0.8833,0.8226,0.6349,1.0000,0.9683,1.0000,0.7143
gemini31,a,9,65,65,62,0.9538,0.9538,0.9538,0.7097,0.8852,0.8197,0.6452,1.0000,0.9677,1.0000,0.7258
gemini31,a,10,65,65,63,0.9692,0.9692,0.9692,0.6984,0.8871,0.8226,0.6508,1.0000,0.9683,1.0000,0.7143
gemini,a,1,65,65,46,0.7077,0.7077,0.7077,0.7174,0.6136,0.8043,0.3261,1.0000,0.9130,0.9783,0.5870
gemini,a,2,65,67,41,0.6119,0.6308,0.6212,0.7317,0.8500,0.9024,0.4146,1.0000,0.9268,1.0000,0.6098
gemini,a,3,65,67,44,0.6567,0.6769,0.6667,0.7500,0.6977,0.8182,0.3864,1.0000,0.9545,1.0000,0.5455
gemini,a,4,65,65,42,0.6462,0.6462,0.6462,0.8095,0.7317,0.8095,0.4286,1.0000,0.9524,1.0000,0.6190
gemini,a,5,65,68,43,0.6324,0.6615,0.6466,0.7209,0.8780,0.8372,0.4884,1.0000,0.9535,0.9767,0.6047
gemini,a,6,65,65,46,0.7077,0.7077,0.7077,0.7174,0.6136,0.8043,0.3261,1.0000,0.9130,0.9783,0.5870
gemini,a,7,65,68,44,0.6471,0.6769,0.6617,0.7500,0.7143,0.8182,0.4773,1.0000,0.9545,0.9773,0.5682
gemini,a,8,65,66,46,0.6970,0.7077,0.7023,0.7174,0.6000,0.8261,0.3913,1.0000,0.9130,1.0000,0.5870
gemini,a,9,65,65,39,0.6000,0.6000,0.6000,0.8205,0.7368,0.7949,0.4103,1.0000,0.9487,1.0000,0.5897
gemini,a,10,65,67,40,0.5970,0.6154,0.6061,0.7250,0.8947,0.8250,0.4000,1.0000,0.9500,0.9750,0.5750
gpt,a,1,65,60,18,0.3000,0.2769,0.2880,0.7778,0.4444,0.5556,0.3333,1.0000,1.0000,1.0000,0.6667
gpt,a,2,65,66,15,0.2273,0.2308,0.2290,1.0000,0.5333,0.4667,0.2667,1.0000,1.0000,1.0000,0.6000
gpt,a,3,65,60,18,0.3000,0.2769,0.2880,0.8889,0.4444,0.5000,0.3333,1.0000,1.0000,1.0000,0.6111
gpt,a,4,65,62,14,0.2258,0.2154,0.2205,0.7857,0.5714,0.5714,0.4286,1.0000,1.0000,1.0000,0.5714
gpt,a,5,65,61,18,0.2951,0.2769,0.2857,0.8333,0.5556,0.5556,0.3889,1.0000,1.0000,1.0000,0.6111
gpt,a,6,65,61,18,0.2951,0.2769,0.2857,0.7778,0.3889,0.6667,0.3333,1.0000,1.0000,1.0000,0.6111
gpt,a,7,65,61,17,0.2787,0.2615,0.2698,0.7647,0.4706,0.5294,0.2353,1.0000,1.0000,1.0000,0.6471
gpt,a,8,65,61,27,0.4426,0.4154,0.4286,0.8519,0.4815,0.5556,0.4074,1.0000,0.9259,1.0000,0.5556
gpt,a,9,65,62,19,0.3065,0.2923,0.2992,0.7895,0.5789,0.4737,0.5263,1.0000,1.0000,1.0000,0.5789
gpt,a,10,65,61,25,0.4098,0.3846,0.3968,0.8000,0.4800,0.5600,0.3200,1.0000,0.9200,1.0000,0.6000
claude,b,1,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.6923,0.9077,1.0000,1.0000,1.0000,0.9538
claude,b,2,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.6923,0.8462,1.0000,1.0000,1.0000,0.9538
claude,b,3,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.6923,0.8462,1.0000,1.0000,1.0000,0.9538
claude,b,4,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.6923,0.9077,1.0000,1.0000,1.0000,0.9538
claude,b,5,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.6923,0.9077,1.0000,1.0000,1.0000,0.9538
claude,b,6,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.6923,0.8462,1.0000,1.0000,1.0000,0.9538
claude,b,7,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.6923,0.9077,1.0000,1.0000,1.0000,0.9538
claude,b,8,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.6923,0.9077,1.0000,1.0000,1.0000,0.9538
claude,b,9,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.6923,0.8462,1.0000,1.0000,1.0000,0.9538
claude,b,10,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.6923,0.9077,1.0000,1.0000,1.0000,0.9538
claude_thinking,b,1,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.9846,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,2,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.7538,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,3,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.7538,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,4,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.8462,0.7538,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,5,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,6,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.9231
claude_thinking,b,7,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.7538,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,8,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,9,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.9846,1.0000,1.0000,1.0000,0.9385
claude_thinking,b,10,65,65,65,1.0000,1.0000,1.0000,0.9846,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8154
gemini31,b,1,65,66,65,0.9848,1.0000,0.9924,0.9538,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,2,65,66,65,0.9848,1.0000,0.9924,0.9538,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,3,65,66,65,0.9848,1.0000,0.9924,0.9538,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,4,65,66,65,0.9848,1.0000,0.9924,0.9538,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,5,65,66,65,0.9848,1.0000,0.9924,0.9538,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,6,65,66,65,0.9848,1.0000,0.9924,0.8154,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,7,65,66,65,0.9848,1.0000,0.9924,0.8154,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,8,65,66,65,0.9848,1.0000,0.9924,0.8154,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,9,65,66,65,0.9848,1.0000,0.9924,0.9538,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini31,b,10,65,66,65,0.9848,1.0000,0.9924,0.8154,1.0000,0.8462,1.0000,1.0000,1.0000,1.0000,0.8308
gemini,b,1,65,66,65,0.9848,1.0000,0.9924,0.9692,1.0000,0.8462,0.9846,1.0000,1.0000,1.0000,0.8615
gemini,b,2,65,66,65,0.9848,1.0000,0.9924,0.8308,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8615
gemini,b,3,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8615
gemini,b,4,65,66,65,0.9848,1.0000,0.9924,0.8308,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8615
gemini,b,5,65,66,65,0.9848,1.0000,0.9924,0.8462,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8308
gemini,b,6,65,66,65,0.9848,1.0000,0.9924,0.8308,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8462
gemini,b,7,65,66,65,0.9848,1.0000,0.9924,0.8462,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8462
gemini,b,8,65,66,65,0.9848,1.0000,0.9924,0.9846,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8615
gemini,b,9,65,66,65,0.9848,1.0000,0.9924,0.9692,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8615
gemini,b,10,65,66,65,0.9848,1.0000,0.9924,0.9692,1.0000,0.8462,0.9692,1.0000,1.0000,1.0000,0.8615
gpt,b,1,65,65,65,1.0000,1.0000,1.0000,0.8769,1.0000,0.6923,0.8000,1.0000,1.0000,1.0000,0.8154
gpt,b,2,65,65,65,1.0000,1.0000,1.0000,0.9385,1.0000,0.6923,0.8769,1.0000,1.0000,1.0000,0.7846
gpt,b,3,65,65,65,1.0000,1.0000,1.0000,0.9692,1.0000,0.6923,0.8769,1.0000,1.0000,1.0000,0.8154
gpt,b,4,65,65,65,1.0000,1.0000,1.0000,0.9385,1.0000,0.6923,0.9538,1.0000,1.0000,1.0000,0.8154
gpt,b,5,65,65,64,0.9846,0.9846,0.9846,0.8594,1.0000,0.7031,0.7188,1.0000,1.0000,1.0000,0.7969
gpt,b,6,65,65,64,0.9846,0.9846,0.9846,0.8750,1.0000,0.7031,0.7500,1.0000,1.0000,1.0000,0.8281
gpt,b,7,65,65,65,1.0000,1.0000,1.0000,0.9077,1.0000,0.6923,0.8769,1.0000,1.0000,1.0000,0.8154
gpt,b,8,65,65,65,1.0000,1.0000,1.0000,0.9692,1.0000,0.6923,0.8769,1.0000,1.0000,1.0000,0.8154
gpt,b,9,65,65,64,0.9846,0.9846,0.9846,0.8906,1.0000,0.7031,0.8906,1.0000,1.0000,1.0000,0.7969
gpt,b,10,65,65,65,1.0000,1.0000,1.0000,0.8462,1.0000,0.6923,0.8769,1.0000,1.0000,1.0000,0.7846
claude,n,1,65,63,44,0.6984,0.6769,0.6875,0.8409,0.2821,0.6136,0.3636,1.0000,0.9773,1.0000,0.6591
claude,n,2,65,62,48,0.7742,0.7385,0.7559,0.7917,0.2558,0.6458,0.3750,1.0000,0.9792,1.0000,0.6250
claude,n,3,65,63,45,0.7143,0.6923,0.7031,0.8667,0.2750,0.6222,0.4222,1.0000,0.9778,1.0000,0.6667
claude,n,4,65,63,45,0.7143,0.6923,0.7031,0.8444,0.3000,0.6000,0.4222,1.0000,0.9778,1.0000,0.6667
claude,n,5,65,63,44,0.6984,0.6769,0.6875,0.8409,0.2821,0.6136,0.4318,1.0000,0.9773,1.0000,0.6591
claude,n,6,65,63,47,0.7460,0.7231,0.7344,0.8298,0.2857,0.6170,0.3191,1.0000,0.9787,1.0000,0.5957
claude,n,7,65,63,45,0.7143,0.6923,0.7031,0.8222,0.2927,0.6222,0.3778,1.0000,0.9778,1.0000,0.6444
claude,n,8,65,63,45,0.7143,0.6923,0.7031,0.8444,0.3171,0.5610,0.4222,1.0000,0.9778,1.0000,0.6667
claude,n,9,65,63,46,0.7302,0.7077,0.7188,0.8261,0.2857,0.6304,0.3913,1.0000,0.9783,1.0000,0.6087
claude,n,10,65,63,47,0.7460,0.7231,0.7344,0.8511,0.2857,0.6170,0.3830,1.0000,0.9787,1.0000,0.5957
claude_thinking,n,1,65,63,41,0.6508,0.6308,0.6406,0.8000,0.2632,0.6500,0.4146,1.0000,0.9756,1.0000,0.5854
claude_thinking,n,2,65,63,44,0.6984,0.6769,0.6875,0.8409,0.2683,0.6591,0.4318,1.0000,0.9773,1.0000,0.6591
claude_thinking,n,3,65,61,48,0.7869,0.7385,0.7619,0.8085,0.3261,0.6250,0.3750,1.0000,1.0000,1.0000,0.6042
claude_thinking,n,4,65,59,45,0.7627,0.6923,0.7258,0.8182,0.3111,0.6667,0.4222,1.0000,0.9556,1.0000,0.6222
claude_thinking,n,5,65,62,37,0.5968,0.5692,0.5827,0.7838,0.2353,0.6757,0.4595,1.0000,0.9730,1.0000,0.5676
claude_thinking,n,6,65,62,45,0.7258,0.6923,0.7087,0.8409,0.3182,0.6444,0.3333,1.0000,0.9778,1.0000,0.5556
claude_thinking,n,7,65,60,45,0.7500,0.6923,0.7200,0.7111,0.3333,0.6444,0.2889,1.0000,1.0000,1.0000,0.6000
claude_thinking,n,8,65,63,42,0.6667,0.6462,0.6562,0.7895,0.3333,0.6429,0.5238,1.0000,1.0000,1.0000,0.6905
claude_thinking,n,9,65,63,41,0.6508,0.6308,0.6406,0.8049,0.3415,0.6250,0.2927,1.0000,0.9756,1.0000,0.5610
claude_thinking,n,10,65,58,44,0.7586,0.6769,0.7154,0.8182,0.3171,0.6136,0.4091,1.0000,0.9318,1.0000,0.7045
gemini31,n,1,65,63,57,0.9048,0.8769,0.8906,0.7143,0.3333,0.6491,0.5439,1.0000,1.0000,1.0000,0.7193
gemini31,n,2,65,63,56,0.8889,0.8615,0.8750,0.7091,0.3214,0.6607,0.5714,1.0000,1.0000,1.0000,0.7321
gemini31,n,3,65,63,56,0.8889,0.8615,0.8750,0.7091,0.3214,0.6607,0.5714,1.0000,1.0000,1.0000,0.7321
gemini31,n,4,65,63,56,0.8889,0.8615,0.8750,0.7091,0.3214,0.6607,0.5714,1.0000,1.0000,1.0000,0.7321
gemini31,n,5,65,63,57,0.9048,0.8769,0.8906,0.7193,0.3333,0.6491,0.5439,1.0000,1.0000,1.0000,0.7719
gemini31,n,6,65,63,57,0.9048,0.8769,0.8906,0.7193,0.3333,0.6491,0.5439,1.0000,1.0000,1.0000,0.7719
gemini31,n,7,65,63,57,0.9048,0.8769,0.8906,0.7193,0.3333,0.6491,0.5439,1.0000,1.0000,1.0000,0.7719
gemini31,n,8,65,63,57,0.9048,0.8769,0.8906,0.7193,0.3333,0.6491,0.5439,1.0000,1.0000,1.0000,0.7719
gemini31,n,9,65,63,57,0.9048,0.8769,0.8906,0.7193,0.3333,0.6491,0.5439,1.0000,1.0000,1.0000,0.7719
gemini31,n,10,65,63,56,0.8889,0.8615,0.8750,0.7143,0.3214,0.6607,0.5714,1.0000,1.0000,1.0000,0.7857
gemini,n,1,65,65,43,0.6615,0.6615,0.6615,0.7000,0.2250,0.6977,0.4419,1.0000,0.9767,1.0000,0.5581
gemini,n,2,65,55,33,0.6000,0.5077,0.5500,0.7273,0.0000,0.6364,0.5758,1.0000,0.9697,1.0000,0.6364
gemini,n,3,65,66,47,0.7121,0.7231,0.7176,0.7273,0.1081,0.6809,0.5106,1.0000,0.9574,1.0000,0.5532
gemini,n,4,65,54,30,0.5556,0.4615,0.5042,0.7667,0.2500,0.6667,0.5000,1.0000,1.0000,1.0000,0.6667
gemini,n,5,65,57,32,0.5614,0.4923,0.5246,0.6875,0.2333,0.6875,0.5000,1.0000,0.9688,1.0000,0.6250
gemini,n,6,65,54,29,0.5370,0.4462,0.4874,0.7931,0.0000,0.6207,0.6207,1.0000,0.9655,1.0000,0.5862
gemini,n,7,65,66,47,0.7121,0.7231,0.7176,0.7500,0.1081,0.6809,0.5106,1.0000,0.9574,1.0000,0.5532
gemini,n,8,65,55,33,0.6000,0.5077,0.5500,0.7273,0.0000,0.6364,0.5758,1.0000,0.9697,1.0000,0.6364
gemini,n,9,65,65,45,0.6923,0.6923,0.6923,0.7333,0.2143,0.7111,0.4222,1.0000,0.9778,1.0000,0.6444
gemini,n,10,65,66,46,0.6970,0.7077,0.7023,0.7442,0.1111,0.6739,0.5217,1.0000,0.9565,1.0000,0.5217
gpt,n,1,65,58,17,0.2931,0.2615,0.2764,0.7059,0.2857,0.5882,0.1765,1.0000,0.7059,1.0000,0.5882
gpt,n,2,65,67,22,0.3284,0.3385,0.3333,0.8182,0.2353,0.5455,0.2727,1.0000,0.7273,1.0000,0.4545
gpt,n,3,65,61,22,0.3607,0.3385,0.3492,0.8182,0.0714,0.5455,0.3182,1.0000,0.9091,1.0000,0.6818
gpt,n,4,65,58,19,0.3276,0.2923,0.3089,0.7895,0.2500,0.5789,0.2105,1.0000,0.7895,1.0000,0.4211
gpt,n,5,65,62,19,0.3065,0.2923,0.2992,0.7368,0.2667,0.5789,0.0526,1.0000,0.9474,1.0000,0.3684
gpt,n,6,65,61,20,0.3279,0.3077,0.3175,0.8000,0.0769,0.5500,0.2000,0.9500,0.8000,0.9500,0.7000
gpt,n,7,65,62,18,0.2903,0.2769,0.2835,0.7222,0.2143,0.5556,0.1667,1.0000,0.7778,1.0000,0.5556
gpt,n,8,65,60,20,0.3333,0.3077,0.3200,0.8500,0.3529,0.5000,0.1000,1.0000,0.6500,1.0000,0.5500
gpt,n,9,65,59,19,0.3220,0.2923,0.3065,0.7895,0.2667,0.5789,0.2105,1.0000,0.6842,1.0000,0.4211
gpt,n,10,65,59,15,0.2542,0.2308,0.2419,0.6667,0.0909,0.6667,0.2667,1.0000,0.8000,1.0000,0.5333
