model,phase,run,n_gt,n_model,n_matched,precision,recall,f1,acc_title,acc_arrival_date,acc_departure_date,acc_place_of_stay,acc_with_spouse,acc_with_siblings,acc_children_count,acc_place_of_origin
gpt,a,1,65,60,18,0.3000,0.2769,0.2880,0.7986,0.8500,0.7787,0.6633,1.0000,1.0000,1.0000,0.6032
gpt,a,2,65,66,15,0.2273,0.2308,0.2290,1.0000,0.8291,0.7780,0.7228,1.0000,1.0000,1.0000,0.6821
gpt,a,3,65,60,18,0.3000,0.2769,0.2880,0.9097,0.7932,0.7999,0.6513,1.0000,1.0000,1.0000,0.7267
gpt,a,4,65,62,14,0.2258,0.2154,0.2205,0.8125,0.9334,0.8701,0.6434,1.0000,1.0000,1.0000,0.5612
gpt,a,5,65,61,18,0.2951,0.2769,0.2857,0.8542,0.9346,0.7929,0.6653,1.0000,1.0000,1.0000,0.6456
gpt,a,6,65,61,18,0.2951,0.2769,0.2857,0.8056,0.8505,0.7973,0.6697,1.0000,1.0000,1.0000,0.5569
gpt,a,7,65,61,17,0.2787,0.2615,0.2698,0.7868,0.8706,0.8727,0.5548,1.0000,1.0000,1.0000,0.5798
gpt,a,8,65,61,27,0.4426,0.4154,0.4286,0.8704,0.8398,0.8064,0.6449,1.0000,0.9259,1.0000,0.6150
gpt,a,9,65,62,19,0.3065,0.2923,0.2992,0.8158,0.9006,0.7315,0.6595,1.0000,1.0000,1.0000,0.5393
gpt,a,10,65,61,25,0.4098,0.3846,0.3968,0.8333,0.8483,0.8059,0.6740,1.0000,0.9200,1.0000,0.6148
claude,b,1,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9735,0.8801,1.0000,1.0000,1.0000,0.9912
claude,b,2,65,66,65,0.9848,1.0000,0.9924,0.9949,1.0000,0.9590,0.8186,1.0000,1.0000,1.0000,0.9912
claude,b,3,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9735,0.8186,1.0000,1.0000,1.0000,0.9912
claude,b,4,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9735,0.8801,1.0000,1.0000,1.0000,0.9912
claude,b,5,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9735,0.8801,1.0000,1.0000,1.0000,0.9912
claude,b,6,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9735,0.8186,1.0000,1.0000,1.0000,0.9912
claude,b,7,65,66,65,0.9848,1.0000,0.9924,0.9949,1.0000,0.9590,0.8801,1.0000,1.0000,1.0000,0.9912
claude,b,8,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9735,0.8801,1.0000,1.0000,1.0000,0.9912
claude,b,9,65,66,65,0.9848,1.0000,0.9924,0.9949,1.0000,0.9590,0.8186,1.0000,1.0000,1.0000,0.9912
claude,b,10,65,66,65,0.9848,1.0000,0.9924,0.9949,1.0000,0.9590,0.8801,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,1,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9902,0.9249,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,2,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9902,0.7092,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,3,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9902,0.7187,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,4,65,66,65,0.9848,1.0000,0.9924,0.9949,1.0000,0.9758,0.7187,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,5,65,66,65,0.9848,1.0000,0.9924,0.9949,1.0000,0.9758,0.9273,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,6,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9902,0.9162,1.0000,1.0000,1.0000,0.9895
claude_thinking,b,7,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9902,0.7133,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,8,65,65,65,1.0000,1.0000,1.0000,0.9987,1.0000,0.9902,0.9341,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,9,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9902,0.9411,1.0000,1.0000,1.0000,0.9912
claude_thinking,b,10,65,65,65,1.0000,1.0000,1.0000,0.9949,1.0000,0.9902,0.9341,1.0000,1.0000,1.0000,0.9745
gemini31,b,1,65,66,65,0.9848,1.0000,0.9924,0.9679,1.0000,0.9758,0.9144,1.0000,1.0000,1.0000,0.9745
gemini31,b,2,65,66,65,0.9848,1.0000,0.9924,0.9679,1.0000,0.9758,0.9144,1.0000,1.0000,1.0000,0.9745
gemini31,b,3,65,66,65,0.9848,1.0000,0.9924,0.9679,1.0000,0.9758,0.9360,1.0000,1.0000,1.0000,0.9745
gemini31,b,4,65,66,65,0.9848,1.0000,0.9924,0.9679,1.0000,0.9758,0.9360,1.0000,1.0000,1.0000,0.9745
gemini31,b,5,65,66,65,0.9848,1.0000,0.9924,0.9679,1.0000,0.9758,0.9360,1.0000,1.0000,1.0000,0.9745
gemini31,b,6,65,66,65,0.9848,1.0000,0.9924,0.8956,1.0000,0.9758,0.9144,1.0000,1.0000,1.0000,0.9745
gemini31,b,7,65,66,65,0.9848,1.0000,0.9924,0.8956,1.0000,0.9758,0.9360,1.0000,1.0000,1.0000,0.9745
gemini31,b,8,65,66,65,0.9848,1.0000,0.9924,0.8956,1.0000,0.9758,0.9360,1.0000,1.0000,1.0000,0.9745
gemini31,b,9,65,66,65,0.9848,1.0000,0.9924,0.9679,1.0000,0.9758,0.9144,1.0000,1.0000,1.0000,0.9745
gemini31,b,10,65,66,65,0.9848,1.0000,0.9924,0.8956,1.0000,0.9758,0.9144,1.0000,1.0000,1.0000,0.9745
gemini,b,1,65,66,65,0.9848,1.0000,0.9924,0.9926,1.0000,0.9758,0.9122,1.0000,1.0000,1.0000,0.8228
gemini,b,2,65,66,65,0.9848,1.0000,0.9924,0.9376,1.0000,0.9758,0.9148,1.0000,1.0000,1.0000,0.9320
gemini,b,3,65,66,65,0.9848,1.0000,0.9924,0.9987,1.0000,0.9758,0.9190,1.0000,1.0000,1.0000,0.8170
gemini,b,4,65,66,65,0.9848,1.0000,0.9924,0.9376,1.0000,0.9758,0.9023,1.0000,1.0000,1.0000,0.9320
gemini,b,5,65,66,65,0.9848,1.0000,0.9924,0.9438,1.0000,0.9758,0.9037,1.0000,1.0000,1.0000,0.9745
gemini,b,6,65,66,65,0.9848,1.0000,0.9924,0.9376,1.0000,0.9758,0.9148,1.0000,1.0000,1.0000,0.9320
gemini,b,7,65,66,65,0.9848,1.0000,0.9924,0.9438,1.0000,0.9758,0.9050,1.0000,1.0000,1.0000,0.9320
gemini,b,8,65,66,65,0.9848,1.0000,0.9924,0.9987,1.0000,0.9758,0.9204,1.0000,1.0000,1.0000,0.8170
gemini,b,9,65,66,65,0.9848,1.0000,0.9924,0.9926,1.0000,0.9758,0.9162,1.0000,1.0000,1.0000,0.8170
gemini,b,10,65,66,65,0.9848,1.0000,0.9924,0.9926,1.0000,0.9758,0.9162,1.0000,1.0000,1.0000,0.8170
gpt,b,1,65,65,65,1.0000,1.0000,1.0000,0.9415,1.0000,0.9735,0.7939,1.0000,1.0000,1.0000,0.9552
gpt,b,2,65,65,65,1.0000,1.0000,1.0000,0.9564,1.0000,0.9735,0.8518,1.0000,1.0000,1.0000,0.9508
gpt,b,3,65,65,65,1.0000,1.0000,1.0000,0.9910,1.0000,0.9735,0.8258,1.0000,1.0000,1.0000,0.9552
gpt,b,4,65,65,65,1.0000,1.0000,1.0000,0.9564,1.0000,0.9735,0.8637,1.0000,1.0000,1.0000,0.9552
gpt,b,5,65,65,64,0.9846,0.9846,0.9846,0.9171,1.0000,0.9740,0.6712,1.0000,1.0000,1.0000,0.9545
gpt,b,6,65,65,64,0.9846,0.9846,0.9846,0.9210,1.0000,0.9740,0.6844,1.0000,1.0000,1.0000,0.9629
gpt,b,7,65,65,65,1.0000,1.0000,1.0000,0.9256,1.0000,0.9735,0.8389,1.0000,1.0000,1.0000,0.9552
gpt,b,8,65,65,65,1.0000,1.0000,1.0000,0.9910,1.0000,0.9735,0.8904,1.0000,1.0000,1.0000,0.9552
gpt,b,9,65,65,64,0.9846,0.9846,0.9846,0.9484,1.0000,0.9740,0.8477,1.0000,1.0000,1.0000,0.9545
gpt,b,10,65,65,65,1.0000,1.0000,1.0000,0.9107,1.0000,0.9735,0.8432,1.0000,1.0000,1.0000,0.9547
claude,n,1,65,63,44,0.6984,0.6769,0.6875,0.8812,0.3227,0.6179,0.4998,1.0000,0.9773,1.0000,0.8170
claude,n,2,65,62,48,0.7742,0.7385,0.7559,0.8325,0.2786,0.6529,0.4477,1.0000,0.9792,1.0000,0.8086
claude,n,3,65,63,45,0.7143,0.6923,0.7031,0.8955,0.3084,0.6250,0.5450,1.0000,0.9778,1.0000,0.8134
claude,n,4,65,63,45,0.7143,0.6923,0.7031,0.8827,0.3343,0.6058,0.4550,1.0000,0.9778,1.0000,0.8178
claude,n,5,65,63,44,0.6984,0.6769,0.6875,0.8845,0.3182,0.6230,0.4651,1.0000,0.9773,1.0000,0.8189
claude,n,6,65,63,47,0.7460,0.7231,0.7344,0.8670,0.3184,0.6267,0.4791,1.0000,0.9787,1.0000,0.7935
claude,n,7,65,63,45,0.7143,0.6923,0.7031,0.8609,0.3263,0.6278,0.4442,1.0000,0.9778,1.0000,0.7976
claude,n,8,65,63,45,0.7143,0.6923,0.7031,0.8583,0.3422,0.5786,0.5035,1.0000,0.9778,1.0000,0.7986
claude,n,9,65,63,46,0.7302,0.7077,0.7188,0.8694,0.3168,0.6403,0.4677,1.0000,0.9783,1.0000,0.7945
claude,n,10,65,63,47,0.7460,0.7231,0.7344,0.8930,0.3168,0.6254,0.4621,1.0000,0.9787,1.0000,0.7904
claude_thinking,n,1,65,63,41,0.6508,0.6308,0.6406,0.8292,0.4762,0.7306,0.6128,1.0000,0.9756,1.0000,0.7832
claude_thinking,n,2,65,63,44,0.6984,0.6769,0.6875,0.9064,0.5170,0.7759,0.6002,1.0000,0.9773,1.0000,0.8798
claude_thinking,n,3,65,61,48,0.7869,0.7385,0.7619,0.8523,0.5736,0.7423,0.4785,1.0000,1.0000,1.0000,0.7869
claude_thinking,n,4,65,59,45,0.7627,0.6923,0.7258,0.9021,0.4335,0.7274,0.6351,1.0000,0.9556,1.0000,0.8288
claude_thinking,n,5,65,62,37,0.5968,0.5692,0.5827,0.8299,0.4699,0.7570,0.5901,1.0000,0.9730,1.0000,0.8765
claude_thinking,n,6,65,62,45,0.7258,0.6923,0.7087,0.8883,0.5180,0.7501,0.6135,1.0000,0.9778,1.0000,0.8490
claude_thinking,n,7,65,60,45,0.7500,0.6923,0.7200,0.8015,0.4907,0.7074,0.5414,1.0000,1.0000,1.0000,0.8480
claude_thinking,n,8,65,63,42,0.6667,0.6462,0.6562,0.8950,0.5390,0.7444,0.6069,1.0000,1.0000,1.0000,0.7943
claude_thinking,n,9,65,63,41,0.6508,0.6308,0.6406,0.8636,0.5282,0.7288,0.5403,1.0000,0.9756,1.0000,0.7517
claude_thinking,n,10,65,58,44,0.7586,0.6769,0.7154,0.8896,0.5075,0.7256,0.6135,1.0000,0.9318,1.0000,0.8812
gemini31,n,1,65,63,57,0.9048,0.8769,0.8906,0.8083,0.4571,0.6992,0.7188,1.0000,1.0000,1.0000,0.9429
gemini31,n,2,65,63,56,0.8889,0.8615,0.8750,0.8048,0.4474,0.7083,0.6647,1.0000,1.0000,1.0000,0.9546
gemini31,n,3,65,63,56,0.8889,0.8615,0.8750,0.8048,0.4474,0.7083,0.6647,1.0000,1.0000,1.0000,0.9546
gemini31,n,4,65,63,56,0.8889,0.8615,0.8750,0.8048,0.4474,0.7083,0.6647,1.0000,1.0000,1.0000,0.9546
gemini31,n,5,65,63,57,0.9048,0.8769,0.8906,0.8117,0.4571,0.7088,0.7144,1.0000,1.0000,1.0000,0.9521
gemini31,n,6,65,63,57,0.9048,0.8769,0.8906,0.8117,0.4571,0.7088,0.7144,1.0000,1.0000,1.0000,0.9521
gemini31,n,7,65,63,57,0.9048,0.8769,0.8906,0.8117,0.4571,0.7088,0.7144,1.0000,1.0000,1.0000,0.9521
gemini31,n,8,65,63,57,0.9048,0.8769,0.8906,0.8117,0.4571,0.7088,0.7144,1.0000,1.0000,1.0000,0.9521
gemini31,n,9,65,63,57,0.9048,0.8769,0.8906,0.8117,0.4571,0.7088,0.7144,1.0000,1.0000,1.0000,0.9521
gemini31,n,10,65,63,56,0.8889,0.8615,0.8750,0.8083,0.4474,0.7181,0.6603,1.0000,1.0000,1.0000,0.9640
gemini,n,1,65,65,43,0.6615,0.6615,0.6615,0.8294,0.4676,0.7660,0.5843,1.0000,0.9767,1.0000,0.6411
gemini,n,2,65,55,33,0.6000,0.5077,0.5500,0.8104,0.2682,0.7018,0.6101,1.0000,0.9697,1.0000,0.8596
gemini,n,3,65,66,47,0.7121,0.7231,0.7176,0.8449,0.3757,0.7500,0.6157,1.0000,0.9574,1.0000,0.6586
gemini,n,4,65,54,30,0.5556,0.4615,0.5042,0.8581,0.4561,0.7282,0.5582,1.0000,1.0000,1.0000,0.8445
gemini,n,5,65,57,32,0.5614,0.4923,0.5246,0.8297,0.4638,0.7603,0.5608,1.0000,0.9688,1.0000,0.8382
gemini,n,6,65,54,29,0.5370,0.4462,0.4874,0.8691,0.1745,0.6579,0.6808,1.0000,0.9655,1.0000,0.8101
gemini,n,7,65,66,47,0.7121,0.7231,0.7176,0.8562,0.3757,0.7500,0.6139,1.0000,0.9574,1.0000,0.6586
gemini,n,8,65,55,33,0.6000,0.5077,0.5500,0.8104,0.2682,0.7018,0.6101,1.0000,0.9697,1.0000,0.8596
gemini,n,9,65,65,45,0.6923,0.6923,0.6923,0.8048,0.3047,0.7461,0.5257,1.0000,0.9778,1.0000,0.8194
gemini,n,10,65,66,46,0.6970,0.7077,0.7023,0.8645,0.3742,0.7445,0.6396,1.0000,0.9565,1.0000,0.6481
gpt,n,1,65,58,17,0.2931,0.2615,0.2764,0.7515,0.4467,0.5956,0.4657,1.0000,0.7059,1.0000,0.6185
gpt,n,2,65,67,22,0.3284,0.3385,0.3333,0.8352,0.3917,0.5455,0.4965,1.0000,0.7273,1.0000,0.6464
gpt,n,3,65,61,22,0.3607,0.3385,0.3492,0.8352,0.2502,0.5455,0.5733,1.0000,0.9091,1.0000,0.6078
gpt,n,4,65,58,19,0.3276,0.2923,0.3089,0.7895,0.2545,0.5789,0.5486,1.0000,0.7895,1.0000,0.5839
gpt,n,5,65,62,19,0.3065,0.2923,0.2992,0.7368,0.3017,0.5789,0.4117,1.0000,0.9474,1.0000,0.5337
gpt,n,6,65,61,20,0.3279,0.3077,0.3175,0.8187,0.1251,0.5500,0.5450,0.9500,0.8000,0.9500,0.6257
gpt,n,7,65,62,18,0.2903,0.2769,0.2835,0.7431,0.3629,0.5660,0.4103,1.0000,0.7778,1.0000,0.6136
gpt,n,8,65,60,20,0.3333,0.3077,0.3200,0.8500,0.4641,0.5000,0.4567,1.0000,0.6500,1.0000,0.6928
gpt,n,9,65,59,19,0.3220,0.2923,0.3065,0.7953,0.4229,0.5789,0.5302,1.0000,0.6842,1.0000,0.4983
gpt,n,10,65,59,15,0.2542,0.2308,0.2419,0.6917,0.1470,0.6667,0.4984,1.0000,0.8000,1.0000,0.5104
