keep,field,ground_truth,acceptable_alternative,n,N,A,B,models,pages,raw_variants,verdict
,place_of_stay,alli tre re san lucca,alla locanda del leon bianco san marco,28,0,28,0,gemini,36,Alla Locanda del Leon Bianco S. Marco,wrong
,place_of_stay,alli tre re san lucca,casa di pietro danna (locanda) in san giovanni grisostomo,26,0,0,26,gpt,36,"In Casa di Pietro Danna (Locanda), in S. Giovanni Grisostomo",wrong
,place_of_stay,alli tre re san lucca,alla loc.a san lucca,24,0,24,0,gemini31,36,Alla loc.a S. Lucca,wrong
,place_of_stay,alli tre re san lucca,alla locanda di francia san zaccaria,24,0,24,0,gemini,36,Alla Locanda di Francia S. Zaccaria,wrong
,place_of_stay,alli tre re san lucca,alla locanda del gallo san marco,21,0,21,0,gemini,36,Alla Locanda del Gallo S. Marco,wrong
,place_of_stay,alli tre re san lucca,casa di pietro danna al ponte di san moise,20,20,0,0,gemini,36,In Casa di Pietro Danna al Ponte di S. Moise,wrong
,place_of_stay,alli tre re san lucca,tre re san lucca,17,0,0,17,claude_thinking,36,Tre Re S. Lucca,wrong
,place_of_stay,alli tre re san lucca,alla locanda san luca,15,5,10,0,claude_thinking gpt,36,Alla locanda S. Luca,wrong
,place_of_stay,alli tre re san lucca,allo scudo san luca,15,11,4,0,claude claude_thinking,36,Allo Scudo S. Luca | allo Scudo S. Luca | allo scudo S. Luca,wrong
,place_of_stay,alli tre re san lucca,allo scudo san lucca,10,4,6,0,claude claude_thinking,36,Allo Scudo S. Lucca,wrong
,place_of_stay,alli tre re san lucca,allo scudo di francia san lucia,9,0,9,0,claude claude_thinking,36,"Allo Scudo di Francia S. Lucia | Allo Scudo di Francia, S. Lucia",wrong
,place_of_stay,alli tre re san lucca,allo scudo san lucia,9,3,6,0,claude claude_thinking,36,Allo Scudo S. Lucia,wrong
,place_of_stay,alli tre re san lucca,casa di pietro danna,6,6,0,0,gemini,36,In casa di Pietro Danna,wrong
,place_of_stay,alli tre re san lucca,albergo san luca,4,0,4,0,gpt,36,All’ Albergo S. Luca,wrong
,place_of_stay,alli tre re san lucca,alla locanda del scudo di francia san provolo,4,0,4,0,gemini,36,Alla Locanda del Scudo di Francia S. Provolo,wrong
,place_of_stay,alli tre re san lucca,alla scudo di francia,4,4,0,0,gemini,36,,wrong
,place_of_stay,alli tre re san lucca,alla stella d'oro,4,4,0,0,gemini,36,,wrong
,place_of_stay,alli tre re san lucca,alle stelle (s luca),4,3,1,0,gpt,36,Alle Stelle (S. Luca) | Alle stelle (S. Luca),wrong
,place_of_stay,alli tre re san lucca,casa di pietro danna al ponte san provolo,4,4,0,0,gemini,36,In casa di Pietro Danna al Ponte S. Provolo,wrong
,place_of_stay,alli tre re san lucca,casa di pietro danna san aponal,4,0,4,0,gemini,36,In Casa di Pietro Danna S. Aponal,wrong
,place_of_stay,alli tre re san lucca,alla locanda de san luca,3,3,0,0,gpt,36,Alla loc. de S. Luca,wrong
,place_of_stay,alli tre re san lucca,alla regina d'ungheria,3,3,0,0,gemini,36,,wrong
,place_of_stay,alli tre re san lucca,alla regina san lucca,3,0,3,0,claude_thinking,36,Alla Regina S. Lucca,wrong
,place_of_stay,alli tre re san lucca,alla scudo di francia san luca,3,0,3,0,claude_thinking,36,Alla Scudo di Francia S. Luca,wrong
,place_of_stay,alli tre re san lucca,alla stella san lucca,3,3,0,0,gemini,36,Alla Stella S. Lucca,wrong
,place_of_stay,alli tre re san lucca,alle stelle san luca,3,2,1,0,gpt,36,Alle Stelle S. Luca | Alle stelle S. Luca,wrong
,place_of_stay,alli tre re san lucca,allo stelle (s luca),3,0,3,0,gpt,36,Allo Stelle (S. Luca),wrong
,place_of_stay,alli tre re san lucca,allo studio san luca,3,3,0,0,gpt,36,Allo studio S. Luca,wrong
,place_of_stay,alli tre re san lucca,casa di pietro danna san giovanni grisostomo,3,0,3,0,claude_thinking,36,In Casa di Pietro Danna S. Gio: Grisostomo,wrong
,place_of_stay,alli tre re san lucca,hoste san zucca,3,3,0,0,claude_thinking,36,All'hoste S. Zucca,wrong
,place_of_stay,alli tre re san lucca,locanda san luca,3,0,3,0,claude_thinking,36,Locanda S. Luca,wrong
,place_of_stay,alli tre re san lucca,locanda san lucca,3,0,3,0,claude_thinking,36,Locanda S. Lucca,wrong
,place_of_stay,alli tre re san lucca,oste san lucca,3,3,0,0,claude_thinking,36,Oste S. Lucca,wrong
,place_of_stay,alli tre re san lucca,scudo san luca,3,0,3,0,claude_thinking,36,Scudo S. Luca,wrong
,place_of_stay,alli tre re san lucca,alla stella (s luca),2,0,2,0,gpt,36,Alla Stella (S. Luca),wrong
,place_of_stay,alli tre re san lucca,allo scudo di francia san luca,2,0,2,0,claude_thinking,36,Allo Scudo di Francia S. Luca,wrong
,place_of_stay,alli tre re san lucca,allo sole (s luca),2,2,0,0,gpt,36,Allo Sole (S. Luca),wrong
,place_of_stay,alli tre re san lucca,allo studio di san luca,2,2,0,0,gpt,36,Allo studio di S. Luca,wrong
,place_of_stay,alli tre re san lucca,casa di pietro banna san san pro sigostano,2,0,2,0,claude_thinking,36,In casa di Pietro Banna S. S. Pro: Sigostano,wrong
,place_of_stay,alli tre re san lucca,hoste de san luca,2,2,0,0,gpt,36,All’Hoste de S. Luca,wrong
,place_of_stay,alli tre re san lucca,osteria san luca,2,2,0,0,claude_thinking,36,All'Osteria S. Luca,wrong
,place_of_stay,alli tre re san lucca,scudo san lucia,2,2,0,0,claude_thinking,36,Scudo S. Lucia,wrong
,place_of_stay,alli tre re san lucca,all stella san lucca,1,1,0,0,claude,36,All. Stella S. Lucca,wrong
,place_of_stay,alli tre re san lucca,alla locanda di francia (s luca),1,1,0,0,gpt,36,Alla locanda di Francia (S. Luca),wrong
,place_of_stay,alli tre re san lucca,alla locanda di francia d luca,1,1,0,0,gpt,36,Alla loc. di Francia d. Luca,wrong
,place_of_stay,alli tre re san lucca,alla locanda di francia di luca,1,1,0,0,gpt,36,Alla loc. di Francia di Luca,wrong
,place_of_stay,alli tre re san lucca,alla locanda di francia san luca,1,1,0,0,gpt,36,Alla loc. di Francia s. Luca,wrong
,place_of_stay,alli tre re san lucca,alla locanda francia (sopra),1,1,0,0,gpt,36,,wrong
,place_of_stay,alli tre re san lucca,alla locanda san moisè,1,0,1,0,gpt,36,Alla locanda S. Moisè,wrong
,place_of_stay,alli tre re san lucca,alla regina d'inghilterra,1,1,0,0,gemini,36,,wrong
,place_of_stay,alli tre re san lucca,alla scudo di francia san paola,1,0,1,0,claude_thinking,36,Alla Scudo di Francia S. Paola,wrong
,place_of_stay,alli tre re san lucca,allo scudo di francia (s luca),1,1,0,0,gpt,36,Allo Scudo di Francia (S. Luca),wrong
,place_of_stay,alli tre re san lucca,allo scudo di lucca,1,0,1,0,claude,36,,wrong
,place_of_stay,alli tre re san lucca,allo studio di francia san luca,1,1,0,0,gpt,36,Allo studio di Francia S. Luca,wrong
,place_of_stay,alli tre re san lucca,allo suedo di francia (s luca),1,0,1,0,gpt,36,Allo Suedo di Francia (S. Luca),wrong
,place_of_stay,alli tre re san lucca,m.o scudo di francia san luca,1,1,0,0,claude_thinking,36,All'M.o Scudo di Francia S. Luca,wrong
,place_of_stay,alli tre re san lucca,m.o scudo san luca,1,1,0,0,claude_thinking,36,All'M.o Scudo S. Luca,wrong
,place_of_stay,alli tre re san lucca,osteria de san luca,1,0,1,0,gpt,36,All'Osteria de S. Luca,wrong
,place_of_stay,alli tre re san lucca,osteria di francia san luca,1,1,0,0,gpt,36,"All’Osteria di Francia, S. Luca",wrong
,place_of_stay,alli tre re san lucca,san giovanni grisostomo,1,0,1,0,claude,36,S. Gio. Grisostomo,wrong
,place_of_stay,alli tre re san lucca,san maruchelli,1,0,1,0,claude_thinking,36,S. Maruchelli,wrong
,place_of_stay,alli tre re san lucca,scudo di francia san lucia,1,1,0,0,claude_thinking,36,Scudo di Francia S. Lucia,wrong
,place_of_stay,allo scudo di francia san lucca,(blank),189,167,22,0,claude claude_thinking gemini31 gpt,36,,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda del carro san moisè,123,0,0,123,claude claude_thinking gpt,36,"Alla Locanda del Carro S. Moisè | Alla Locanda del Carro, S. Moisè",wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san luca,68,41,27,0,claude claude_thinking gpt,36,"Allo Scudo di Francia S. Luca | allo Scudo di Francia S. Luca | allo Scudo di Francia, S. Luca",wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san lucia,60,5,55,0,claude claude_thinking,36,"Allo Scudo di Francia S. Lucia | Allo Scudo di Francia S. lucia | Allo Scudo di Francia, S. Lucia",wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda del doro san moisè,43,0,43,0,claude claude_thinking,36,"Alla locanda del Doro S. Moisè | Alla locanda del Doro, S. Moisè | alla locanda del Doro S. Moisè | alla locanda del Doro, S. Moisè",wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda del scudo di francia san provolo,24,0,24,0,gemini,36,Alla Locanda del Scudo di Francia S. Provolo,wrong
,place_of_stay,allo scudo di francia san lucca,alla scudo di francia,24,24,0,0,gemini,36,,wrong
,place_of_stay,allo scudo di francia san lucca,allo suedo di francia (s luca),20,1,19,0,gpt,36,Allo Suedo di Francia (S. Luca),wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda del gallo san marco,18,0,18,0,gemini,36,Alla Locanda del Gallo S. Marco,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san zucca,17,3,14,0,gemini,36,Allo Scudo di Francia S. Zucca | allo Scudo di Francia S. Zucca,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda di francia (s luca),16,6,10,0,gpt,36,Alla locanda di Francia (S. Luca),wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda san moisè,16,0,16,0,gpt,36,Alla locanda S. Moisè,wrong
,place_of_stay,allo scudo di francia san lucca,scudo di francia san lucca,13,1,0,12,claude_thinking,36,Scudo di Francia S. Lucca,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda di francia san zaccaria,12,0,12,0,gemini,36,Alla Locanda di Francia S. Zaccaria,wrong
